cefr_folder,title,cefr_age_group,text,flesch_kincaid_score,smog_score,fk_estimated_uk_age_num,reading_band,lexicon_count,sentence_count,syllables_per_word,polysyllable_count,monosyllable_count,flesch_reading_ease,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,spache_readability,reading_time
A1,an_application_form,6-8,"Library card application
First name	MIKE
Last name	ESPOSA-HERNANDEZ
Date of birth	08/11/1991
Address	4 CHARLES ROAD, GLOUCESTER
Postcode	GL1 3ZE
Phone	07796 345678
Email	m.esposa@example.com
I declare the information provided is correct.
Signature Mike Esposa-Hernandez
Date 03/07/2018
 
Your checklist
Have you got everything you need?
[ ✔ ] a passport photo
[ ✔ ] a copy of my passport or other photo ID
[ ✔ ] proof of address
Your card will be issued within 15 days and sent to the address provided.",10.917166666666668,12.161744961471694,16,15-16,75,4,1.6266666666666667,10,48,50.18775000000002,13.168,11.326785714285712,11.5141,16,11.875,11.766666666666666,11th and 12th grade,5.661416666666666,6.12573
A1,an_email_to_book_a_hotel,6-8,"o: info@ascot-hotel.co.uk
From: David Mathews
Subject: Booking 2 nights next week
Dear Ascot Hotel,
I would like to reserve an accessible single room for two nights with breakfast on the 22 and 23 of April. Could I have a quiet room with a view if possible, please?
I will arrive at about 10 p.m. and I have an early meeting the next morning, so please could you leave an iron and ironing board in the room?
I have a promotional code (MH2219). Please can you confirm that it is £80 per night with breakfast included?
Please could you confirm the booking? Let me know if you need any further information.
Many thanks.
With kind regards,
David Mathews",5.919316239316242,8.167268648758528,11,8-12,117,9,1.393162393162393,7,82,75.77846153846157,7.155555555555555,6.526666666666667,8.195060683760683,15,7.0,7.251282051282051,6th and 7th grade,3.995076923076923,7.82977
A1,an_email_to_confirm_an_appointment,6-8,"From: Arina Marat, HR Assistant
To: Jane Claret
Subject: Your appointment on 14 March
Dear Ms Claret,
Thank you for your email.
I am writing to confirm your appointment with our HR manager, Mrs Sofia Aronov.
Your appointment will take place at 3 p.m. on Thursday 14 March at our Astana offices in Emerald Towers. 
When you arrive, please go to the reception on the 26th floor and ask for me. I will take you to Mrs Aronov's office. 
We look forward to meeting you soon.
Best regards,
Arina Marat
HR Assistant",5.953695652173913,9.188382445141505,11,8-12,92,8,1.4130434782608696,9,63,75.61902173913046,6.717391304347828,5.5661956521739135,10.042334782608696,14,5.875,8.078260869565218,5th and 6th grade,4.236586956521739,6.096349999999999
A1,a_noticeboard_message,6-8,"Looking for a housemate
Single ensuite room available in our lovely three-bedroom house in Didsbury. Five-minute walk from city centre. Move in from 1 June. Shared kitchen and living room with two female housemates, no parking, £600 a month excluding bills. No pets. Contact 07890 123456 for viewing.",5.608166666666669,7.554174236665414,11,8-12,48,5,1.4791666666666667,3,29,71.9535,10.358333333333338,8.195625,11.020785,13,4.4,6.34,5th and 6th grade,4.521766666666666,3.71657
A1,business_cards,6-8,"KPD Foods
Bruno Silva
Head of Marketing
Address: Avenida Paulista 53, Bela Vista, São Paulo, 01311-914, Brazil
Tel: (+55) 11 8134 7706
Email: bruno.silva@KPDFoods.com
Getty Telecommunications Ltd
Olivia Hoskins
International Project Manager
Address: 700 Rockville Street, Monroe, New York 10950, USA
Tel: (+1) 845 228 8396
Email: Olivia.Hoskins@GettyTel.com
Orion Education Services
Park Ji-Yeon
Director
Address: South Korea, Seoul, Jongno-gu, Sajik-ro-3-gil 23, 30174
Tel: (+82) 2 235-6482
Email: Jiyeon_Park@OrionEducation.com
ABC Travel
Rashid Khan
Sales Representative
Address: Hajar Road, Dubai, UAE
Tel: (+971) 4 677 3355
Email: Rashid.Khan@ABCTravelDubai.com",15.846162790697672,15.247664890283003,21,>18,86,4,1.930232558139535,17,45,21.71482558139536,18.297674418604657,21.139883720930236,18.289644186046512,33,15.0,16.041860465116283,14th and 15th grade,7.4705,8.534889999999999
A1,christmas_time,6-8,It is Christmas. Dad gives Tim a toy. The toy is in the box. Tim takes off the lid. He sees the toy. It is a car. The car is red. The car makes noises. The car moves fast. Tim likes the gift. He hugs his dad. Dad smiles.,-1.571094619666047,3.1291,3,≤5,49,11,1.0408163265306123,0,47,114.26057513914655,-3.506122448979593,-2.6696660482374774,7.724384230055659,1,1.227272727272727,1.7818181818181815,0th and 1st grade,1.6426011131725415,2.52668
A1,dictionary_definitions,6-8,"attend 
(v)
to officially go to a place, like a school, university or class
You must attend 80 per cent of classes to pass the course.
dormitory plural dormitories
(n)
1. a place where many people sleep
2. US: a big building at a university where students live (UK: hall of residence)
I know John. He lives in my dorm at university.
faculty plural faculties
(n)
all the teachers who work at a university
Norman Brown was in the English faculty for twenty years.
teaching assistant
(n)
a person who works to help a university teacher in a classroom
The teaching assistant has the exams for you at the end of class.
tuition fee
(n)
an amount of money that you pay to go to university
Tuition fees are very high this year.
undergraduate
(n)
a student at a college or university who is studying for a first degree
They met when they were undergraduates at Cambridge University.",10.07691983122363,12.060818386365153,15,15-16,158,9,1.5886075949367089,22,110,54.619908579465545,7.769620253164557,8.662018284106892,9.60402770745429,24,8.0,12.59184247538678,7th and 8th grade,5.164966244725738,10.50335
A1,emails_about_studying_in_the_uk,6-8,"From: Simona Reggia
To: City Language School
Subject: Courses in August
Dear Sir or Madam,
I have seen your website and I would like to know more about your English courses.
I am interested in taking a two-week course in August. Are there any places available, and what are the start dates?
Also, do you have any accommodation for those dates?
Thank you for your help.
Regards,
Simona
From: Susan Colworth, City Language School
To: Simona Reggia
Subject: Re: Courses in August
Attachment: accommodation_info.pdf
Dear Simona,
Thank you for your interest in our courses.
Courses
Yes, we have places on all our August courses.
Start dates are 7, 14 and 21 August (Mondays).
Accommodation
Yes, we have rooms for students near the school. I am attaching some more information, photos and the prices.
Which course would you like, and which start date? If you would like accommodation, please let me know soon, as it is very popular.
Feel free to email me with any other questions.
Regards,
Susan Colworth
Course Administrator
City Language School",6.973080459770117,8.841846274778883,12,8-12,174,15,1.528735632183908,15,110,65.7299655172414,9.248275862068963,7.838793103448275,8.567722068965516,26,6.375,7.858390804597701,7th and 8th grade,4.402186206896552,12.73623
A1,holiday_home_adverts,6-8,"City flat
Beautiful two-bedroom city flat five minutes' walk from the cathedral. Fully equipped kitchen, living room with a large sofa and chairs, big TV and balcony. The balcony has space for four people to sit and gets the sun in the mornings, and the flat is light and warm. It has Wi-Fi and fast internet. The upstairs bedroom sleeps four people, with two double beds; the downstairs bedroom sleeps two in single beds. The flat is perfect for families and is near shops, bars and restaurants.
Farmhouse
Four-bedroom farmhouse in the countryside. All of the four double bedrooms are en suite with luxury shower and bath. Farm kitchen with barbecue, tables and chairs outside. Great for groups of friends. The supermarket is half an hour by car and you can take a train from the village into the city. Escape from normal life for a few days as we have … NO INTERNET and you can only use mobile phones at the bottom of the garden!",6.225481927710845,8.841846274778883,11,8-12,166,12,1.3855421686746987,12,115,75.57729919678718,7.95060240963856,7.062415169660682,8.127452610441768,23,6.25,8.183935742971888,7th and 8th grade,4.032873493975904,11.23785
A1,instructions_for_a_colleague,6-8,"From: Amelia Smith
To: Tim Young
Subject: Things to do for the team meeting
Tim,
We have a team meeting in Room 310 on Friday 26 November at 11 a.m. We are expecting 25 members of our international team there.
Could you please book the room for us? 
Would you please prepare 25 pens and notepads for the meeting? 
Also, can you write an email to the team members to tell them the time and place of the meeting?
Thanks very much for your help. If you have any questions about this just let me know – I'll be in the office tomorrow morning.
Best,
Amelia",5.7685714285714305,8.418075326091056,11,8-12,105,7,1.3047619047619048,6,81,81.22714285714288,5.868571428571428,5.798679245283022,7.237738095238095,6,6.714285714285714,7.523809523809525,5th and 6th grade,3.6092380952380942,6.52236
